Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
106,2023,K리그1,하나원큐 K리그1 2023,220,2023/11/25,포항,대구,포항 스틸야드,9541,1808,주말
107,2023,K리그1,하나원큐 K리그1 2023,204,2023/10/22,대전,수원FC,대전 월드컵,9474,363,주말
108,2023,K리그1,하나원큐 K리그1 2023,113,2023/06/25,인천,포항,인천 전용,9367,723,주말
109,2023,K리그1,하나원큐 K리그1 2023,155,2023/08/13,인천,대구,인천 전용,9349,761,주말
110,2023,K리그1,하나원큐 K리그1 2023,191,2023/10/01,강원,대전,강릉하이원아레나,9326,887,주말
111,2023,K리그1,하나원큐 K리그1 2023,39,2023/04/15,수원FC,전북,수원 종합,9221,1999,주말
112,2023,K리그1,하나원큐 K리그1 2023,58,2023/04/30,포항,인천,포항 스틸야드,9173,320,주말
113,2023,K리그1,하나원큐 K리그1 2023,38,2023/04/15,포항,서울,포항 스틸야드,9131,484,주말
114,2023,K리그1,하나원큐 K리그1 2023,166,2023/08/26,강원,포항,강릉하이원아레나,9063,480,주말
115,2023,K리그1,하나원큐 K리그1 2023,140,2023/07/21,포항,전북,포항 스틸야드,9055,846, 
116,2023,K리그1,하나원큐 K리그1 2023,138,2023/07/16,인천,대전,인천 전용,8925,614,주말
117,2023,K리그1,하나원큐 K리그1 2023,215,2023/11/12,수원FC,수원,수원 종합,8886,2000,주말
118,2023,K리그1,하나원큐 K리그1 2023,59,2023/04/30,수원,대구,수원 월드컵,8883,845,주말
119,2023,K리그1,하나원큐 K리그1 2023,97,2023/06/06,수원FC,울산,수원 종합,8733,1733, 
120,2023,K리그1,하나원큐 K리그1 2023,34,2023/04/09,전북,인천,전주 월드컵,8697,489,주말
121,2023,K리그1,하나원큐 K리그1 2023,13,2023/03/11,수원FC,수원,수원 종합,8670,1700,주말
122,2023,K리그1,하나원큐 K리그1 2023,14,2023/03/11,대전,포항,대전 월드컵,8661,749,주말
123,2023,K리그1,하나원큐 K리그1 2023,63,2023/05/05,인천,수원,인천 전용,8637,1903, 
124,2023,K리그1,하나원큐 K리그1 2023,176,2023/09/16,인천,제주,인천 전용,8433,506,주말
125,2023,K리그1,하나원큐 K리그1 2023,105,2023/06/10,대전,광주,대전 월드컵,8390,317,주말
126,2023,K리그1,하나원큐 K리그1 2023,72,2023/05/10,대전,수원FC,대전 월드컵,8377,120, 
127,2023,K리그1,하나원큐 K리그1 2023,98,2023/06/06,포항,제주,포항 스틸야드,8376,87, 
128,2023,K리그1,하나원큐 K리그1 2023,152,2023/08/12,강원,울산,강릉하이원아레나,8369,793,주말
129,2023,K리그1,하나원큐 K리그1 2023,5,2023/02/26,제주,수원FC,제주 월드컵,8362,181,주말
130,2023,K리그1,하나원큐 K리그1 2023,129,2023/07/12,울산,인천,울산 문수,8353,175, 
131,2023,K리그1,하나원큐 K리그1 2023,26,2023/04/01,인천,대구,인천 전용,8250,638,주말
132,2023,K리그1,하나원큐 K리그1 2023,46,2023/04/22,인천,수원FC,인천 전용,8215,350,주말
133,2023,K리그1,하나원큐 K리그1 2023,99,2023/06/07,전북,대구,전주 월드컵,8197,221, 
134,2023,K리그1,하나원큐 K리그1 2023,174,2023/09/03,제주,전북,제주 월드컵,8104,729,주말
135,2023,K리그1,하나원큐 K리그1 2023,17,2023/03/12,전북,광주,전주 월드컵,8051,255,주말
136,2023,K리그1,하나원큐 K리그1 2023,211,2023/11/11,대전,강원,대전 월드컵,8000,335,주말
137,2023,K리그1,하나원큐 K리그1 2023,127,2023/07/11,대구,강원,대구iM뱅크PARK,7929,56, 
138,2023,K리그1,하나원큐 K리그1 2023,71,2023/05/10,수원,전북,수원 월드컵,7860,1257, 
139,2023,K리그1,하나원큐 K리그1 2023,183,2023/09/24,수원FC,울산,수원 종합,7809,1445,주말
140,2023,K리그1,하나원큐 K리그1 2023,217,2023/11/24,인천,울산,인천 전용,7601,1302, 
141,2023,K리그1,하나원큐 K리그1 2023,42,2023/04/16,대구,광주,대구iM뱅크PARK,7534,95,주말
142,2023,K리그1,하나원큐 K리그1 2023,19,2023/03/18,포항,강원,포항 스틸야드,7514,84,주말
143,2023,K리그1,하나원큐 K리그1 2023,177,2023/09/16,포항,수원FC,포항 스틸야드,7469,128,주말
144,2023,K리그1,하나원큐 K리그1 2023,30,2023/04/02,수원,강원,수원 월드컵,7428,494,주말
145,2023,K리그1,하나원큐 K리그1 2023,12,2023/03/05,광주,서울,광주 전용,7357,539,주말
146,2023,K리그1,하나원큐 K리그1 2023,222,2023/11/25,강원,수원FC,강릉하이원아레나,7307,189,주말
147,2023,K리그1,하나원큐 K리그1 2023,184,2023/09/24,광주,전북,광주 전용,7303,1420,주말
148,2023,K리그1,하나원큐 K리그1 2023,162,2023/08/20,포항,대전,포항 스틸야드,7287,537,주말
149,2023,K리그1,하나원큐 K리그1 2023,101,2023/06/07,인천,서울,인천 전용,7272,1318, 
150,2023,K리그1,하나원큐 K리그1 2023,157,2023/08/18,수원,제주,수원 월드컵,7258,238, 
151,2023,K리그1,하나원큐 K리그1 2023,156,2023/08/13,포항,광주,포항 스틸야드,7206,238,주말
