Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
65,2025,K리그2,하나은행 K리그2 2025,260,2025/11/08,전남,인천,광양 전용,5779,516,주말
66,2025,K리그2,하나은행 K리그2 2025,47,2025/04/13,인천,충북청주,인천 전용,5542,145,주말
67,2025,K리그2,하나은행 K리그2 2025,264,2025/11/09,충북청주,서울E,청주 종합,5406,172,주말
68,2025,K리그2,하나은행 K리그2 2025,126,2025/06/29,김포,인천,김포솔터축구장,5298,2220,주말
69,2025,K리그2,하나은행 K리그2 2025,271,2025/11/23,서울E,안산,목동 종합,5211,129,주말
70,2025,K리그2,하나은행 K리그2 2025,128,2025/07/05,전남,인천,광양 전용,5149,990,주말
71,2025,K리그2,하나은행 K리그2 2025,21,2025/03/09,성남,인천,탄천 종합,4891,2220,주말
72,2025,K리그2,하나은행 K리그2 2025,258,2025/11/02,전남,성남,광양 전용,4828,128,주말
73,2025,K리그2,하나은행 K리그2 2025,50,2025/04/19,인천,천안,인천 전용,4637,122,주말
74,2025,K리그2,하나은행 K리그2 2025,93,2025/05/31,서울E,부산,목동 종합,4482,328,주말
75,2025,K리그2,하나은행 K리그2 2025,267,2025/11/23,충남아산,전남,아산 이순신,4463,352,주말
76,2025,K리그2,하나은행 K리그2 2025,237,2025/10/12,성남,인천,탄천 종합,4384,1773,주말
77,2025,K리그2,하나은행 K리그2 2025,83,2025/05/18,전남,충북청주,광양 전용,4378,82,주말
78,2025,K리그2,하나은행 K리그2 2025,119,2025/06/22,경남,수원,창원 축구센터,4329,1324,주말
79,2025,K리그2,하나은행 K리그2 2025,235,2025/10/12,전남,안산,광양 전용,4239,32,주말
80,2025,K리그2,하나은행 K리그2 2025,230,2025/10/08,부천,성남,부천 종합,4233,473, 
81,2025,K리그2,하나은행 K리그2 2025,73,2025/05/10,충남아산,인천,아산 이순신,4204,1636,주말
82,2025,K리그2,하나은행 K리그2 2025,101,2025/06/07,부산,안산,부산 구덕,4132,72,주말
83,2025,K리그2,하나은행 K리그2 2025,3,2025/02/22,부산,김포,부산 구덕,4101,187,주말
84,2025,K리그2,하나은행 K리그2 2025,98,2025/06/01,천안,인천,천안 종합,4032,1505,주말
85,2025,K리그2,하나은행 K리그2 2025,17,2025/03/08,김포,충북청주,김포솔터축구장,4017,145,주말
86,2025,K리그2,하나은행 K리그2 2025,239,2025/10/19,안산,인천,안산 와스타디움,3950,2265,주말
87,2025,K리그2,하나은행 K리그2 2025,244,2025/10/19,부천,천안,부천 종합,3897,85,주말
88,2025,K리그2,하나은행 K리그2 2025,41,2025/04/06,충남아산,충북청주,아산 이순신,3871,249,주말
89,2025,K리그2,하나은행 K리그2 2025,163,2025/08/09,부산,인천,부산 구덕,3852,1274,주말
90,2025,K리그2,하나은행 K리그2 2025,200,2025/09/13,천안,인천,천안 종합,3850,1228,주말
91,2025,K리그2,하나은행 K리그2 2025,92,2025/05/31,전남,화성,광양 전용,3784,61,주말
92,2025,K리그2,하나은행 K리그2 2025,11,2025/03/02,화성,충남아산,화성 종합,3731,244,주말
93,2025,K리그2,하나은행 K리그2 2025,273,2025/11/23,성남,부산,탄천 종합,3703,222,주말
94,2025,K리그2,하나은행 K리그2 2025,261,2025/11/08,화성,경남,화성 종합,3617,41,주말
95,2025,K리그2,하나은행 K리그2 2025,6,2025/02/23,서울E,충남아산,목동 종합,3592,283,주말
96,2025,K리그2,하나은행 K리그2 2025,7,2025/02/23,부천,충북청주,부천 종합,3590,457,주말
97,2025,K리그2,하나은행 K리그2 2025,255,2025/11/01,부천,안산,부천 종합,3522,114,주말
98,2025,K리그2,하나은행 K리그2 2025,247,2025/10/25,성남,화성,탄천 종합,3471,161,주말
99,2025,K리그2,하나은행 K리그2 2025,107,2025/06/14,부천,서울E,부천 종합,3440,270,주말
100,2025,K리그2,하나은행 K리그2 2025,64,2025/05/04,성남,서울E,탄천 종합,3421,282,주말
101,2025,K리그2,하나은행 K리그2 2025,57,2025/04/26,서울E,경남,목동 종합,3383,91,주말
102,2025,K리그2,하나은행 K리그2 2025,222,2025/10/04,화성,인천,화성 종합,3374,1690,주말
103,2025,K리그2,하나은행 K리그2 2025,266,2025/11/09,김포,부천,김포솔터축구장,3368,653,주말
104,2025,K리그2,하나은행 K리그2 2025,5,2025/02/23,성남,화성,탄천 종합,3314,953,주말
105,2025,K리그2,하나은행 K리그2 2025,220,2025/10/04,김포,안산,김포솔터축구장,3283,95,주말
106,2025,K리그2,하나은행 K리그2 2025,62,2025/04/27,김포,전남,김포솔터축구장,3279,135,주말
107,2025,K리그2,하나은행 K리그2 2025,15,2025/03/08,부천,부산,부천 종합,3277,233,주말
108,2025,K리그2,하나은행 K리그2 2025,169,2025/08/15,전남,부천,광양 전용,3266,141, 
109,2025,K리그2,하나은행 K리그2 2025,69,2025/05/04,부산,충남아산,부산 구덕,3240,176,주말
110,2025,K리그2,하나은행 K리그2 2025,270,2025/11/23,부천,화성,부천 종합,3222,198,주말
111,2025,K리그2,하나은행 K리그2 2025,147,2025/07/20,경남,인천,창원 축구센터,3214,561,주말
112,2025,K리그2,하나은행 K리그2 2025,40,2025/04/06,김포,부천,김포솔터축구장,3176,441,주말
113,2025,K리그2,하나은행 K리그2 2025,20,2025/03/09,천안,충남아산,천안 종합,3163,558,주말
114,2025,K리그2,하나은행 K리그2 2025,201,2025/09/14,전남,화성,광양 전용,3154,41,주말
115,2025,K리그2,하나은행 K리그2 2025,33,2025/03/30,서울E,부천,목동 종합,3140,448,주말
116,2025,K리그2,하나은행 K리그2 2025,55,2025/04/20,충남아산,전남,아산 이순신,3131,105,주말
117,2025,K리그2,하나은행 K리그2 2025,24,2025/03/15,김포,성남,김포솔터축구장,3126,336,주말
118,2025,K리그2,하나은행 K리그2 2025,176,2025/08/23,전남,안산,광양 전용,3121,45,주말
119,2025,K리그2,하나은행 K리그2 2025,87,2025/05/24,성남,부산,탄천 종합,3108,348,주말
120,2025,K리그2,하나은행 K리그2 2025,191,2025/09/06,전남,서울E,광양 전용,3106,67,주말
121,2025,K리그2,하나은행 K리그2 2025,175,2025/08/17,천안,부산,천안 종합,3087,73,주말
122,2025,K리그2,하나은행 K리그2 2025,180,2025/08/24,충북청주,인천,청주 종합,3076,1093,주말
123,2025,K리그2,하나은행 K리그2 2025,103,2025/06/07,경남,화성,창원 축구센터,3053,79,주말
124,2025,K리그2,하나은행 K리그2 2025,157,2025/08/02,전남,충남아산,광양 전용,3036,125,주말
125,2025,K리그2,하나은행 K리그2 2025,205,2025/09/20,부천,서울E,부천 종합,3033,245,주말
126,2025,K리그2,하나은행 K리그2 2025,272,2025/11/23,경남,천안,창원 축구센터,3007,103,주말
127,2025,K리그2,하나은행 K리그2 2025,186,2025/08/30,김포,전남,김포솔터축구장,3005,143,주말
128,2025,K리그2,하나은행 K리그2 2025,229,2025/10/08,경남,전남,창원 축구센터,2981,427, 
129,2025,K리그2,하나은행 K리그2 2025,223,2025/10/05,전남,천안,광양 전용,2913,73,주말
130,2025,K리그2,하나은행 K리그2 2025,79,2025/05/17,부천,화성,부천 종합,2891,135,주말
