Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,Field_Name,Audience_Qty,Weather,Temperature,Humidity
2025,K리그1,16,96,2025-05-28 19:30:00,수,광주,울산,6,3,광주 월드컵 경기장,2933,맑음,24.0,53
2025,K리그1,17,97,2025-05-31 19:00:00,토,서울,제주,7,10,서울 월드컵 경기장,24270,흐림,23.5,50
2025,K리그1,17,98,2025-05-31 19:00:00,토,전북,울산,1,3,전주 월드컵 경기장,31830,맑음,24.0,49
2025,K리그1,17,99,2025-05-31 19:00:00,토,안양,대전,9,2,안양 종합 운동장,8752,흐림,24.2,40
2025,K리그1,17,100,2025-06-01 19:00:00,일,김천,수원FC,5,11,김천 종합 운동장,1533,맑음,29.9,28
2025,K리그1,17,101,2025-06-01 19:00:00,일,포항,강원,4,9,포항 스틸야드,8944,맑음,19.0,77
2025,K리그1,17,102,2025-06-01 19:00:00,일,대구,광주,12,6,대구iM뱅크PARK,11111,맑음,30.5,24
2025,K리그1,18,103,2025-06-13 19:30:00,금,강원,전북,9,1,춘천 송암 스포츠타운,6219,흐림,27.0,47
2025,K리그1,18,104,2025-06-13 19:30:00,금,광주,서울,6,7,광주 월드컵 경기장,2746,비,23.0,85
2025,K리그1,18,105,2025-06-14 19:00:00,토,김천,포항,5,4,김천 종합 운동장,2681,맑음,26.8,71
2025,K리그1,18,106,2025-06-14 19:00:00,토,수원FC,안양,11,8,수원 종합 운동장,7524,맑음,28.8,58
2025,K리그1,18,107,2025-06-14 19:00:00,토,제주,대구,10,12,제주 월드컵 경기장,6542,맑음,24.0,83
2025,K리그1,18,108,2025-04-01 19:30:00,화,울산,대전,4,1,울산 문수 축구경기장,6902,맑음,11.1,45
2025,K리그1,19,109,2025-06-17 19:30:00,화,서울,강원,6,10,서울 월드컵 경기장,15290,맑음,28.4,61
2025,K리그1,19,110,2025-06-17 19:30:00,화,전북,수원FC,1,11,전주 월드컵 경기장,11355,맑음,29.0,61
2025,K리그1,19,111,2025-06-17 19:30:00,화,대구,포항,12,5,대구iM뱅크PARK,9384,맑음,29.8,56
2025,K리그1,19,112,2025-06-18 19:30:00,수,제주,광주,9,8,제주 월드컵 경기장,5307,맑음,25.0,77
2025,K리그1,19,113,2025-06-18 19:30:00,수,대전,김천,2,5,대전 월드컵 경기장,5016,맑음,31.0,45
2025,K리그1,19,114,2025-04-23 19:30:00,수,안양,울산,8,5,안양 종합 운동장,5592,맑음,21.9,38
2025,K리그1,20,115,2025-06-21 19:00:00,토,강원,대구,10,12,강릉하이원아레나,9256,흐림,26.4,59
2025,K리그1,20,116,2025-06-21 19:00:00,토,포항,제주,5,9,포항 스틸야드,6204,비,22.0,79
2025,K리그1,20,117,2025-06-21 19:00:00,토,전북,서울,1,7,전주 월드컵 경기장,22862,비,21.0,94
2025,K리그1,20,118,2025-06-22 19:00:00,일,김천,안양,4,9,김천 종합 운동장,1774,맑음,28.9,44
2025,K리그1,20,119,2025-08-02 19:00:00,토,울산,수원FC,7,11,울산 문수 축구경기장,10197,맑음,31.1,69
2025,K리그1,20,120,2025-06-22 19:00:00,일,광주,대전,7,2,광주 월드컵 경기장,3055,맑음,24.0,70
2025,K리그1,21,121,2025-06-27 19:30:00,금,김천,전북,3,1,김천 종합 운동장,3840,맑음,31.8,53
2025,K리그1,21,122,2025-06-27 19:30:00,금,대전,제주,2,10,대전 월드컵 경기장,7097,맑음,30.4,53
