Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,17,2025-05-17 14:03:00,일,神戸,Ｇ大阪,115.398,108.191,112,93,23275,흐림,25.5,60
2025,J리그1,17,2025-05-17 14:35:00,일,福岡,名古屋,117.846,115.429,127,121,7370,흐림 후 맑음,24.9,71
2025,J리그1,17,2025-05-17 14:03:00,일,広島,東京Ｖ,107.272,113.048,87,96,24837,흐림,28.6,64
2025,J리그1,17,2025-05-17 15:04:00,일,鹿島,清水,115.203,113.892,118,110,20864,흐림,21.7,90
2025,J리그1,17,2025-05-17 15:03:00,일,湘南,横浜FC,111.214,112.687,119,121,8476,비,22.3,90
2025,J리그1,17,2025-05-17 16:03:00,일,浦和,FC東京,121.177,118.426,167,134,36002,흐림 후 비,21.9,90
2025,J리그1,17,2025-05-18 15:03:00,일,川崎Ｆ,Ｃ大阪,110.315,109.142,103,103,22070,흐림,26.3,51
2025,J리그1,17,2025-05-18 15:04:00,일,岡山,新潟,121.944,117.905,141,116,14666,흐림,25.7,53
2025,J리그1,13,2025-05-21 19:03:00,일,川崎Ｆ,浦和,114.844,117.114,111,135,20302,흐림,25.4,58
2025,J리그1,13,2025-05-21 19:03:00,일,横浜FM,神戸,113.008,113.678,112,119,15373,맑음,24.7,58
2025,J리그1,18,2025-05-24 15:03:00,일,Ｃ大阪,福岡,115.043,117.802,147,158,14693,비 때때로 흐림,21,73
2025,J리그1,18,2025-05-25 13:03:00,일,岡山,町田,121.027,118.447,109,142,14022,흐림,23.9,44
2025,J리그1,18,2025-05-25 14:03:00,일,横浜FM,鹿島,113.378,110.073,118,122,32443,흐림,25.6,54
2025,J리그1,18,2025-05-25 14:03:00,일,横浜FC,柏,118.128,115.882,144,140,8779,흐림,24.9,64
2025,J리그1,18,2025-05-25 14:03:00,일,新潟,湘南,120.955,118.15,142,159,18426,흐림 때때로 비,17.6,90
2025,J리그1,18,2025-05-25 14:03:00,일,清水,神戸,109.642,108.756,106,96,17528,맑음,28.3,35
2025,J리그1,18,2025-05-25 15:04:00,일,FC東京,広島,115.962,115.378,125,129,46206,흐림,21.3,46
2025,J리그1,18,2025-05-25 15:03:00,일,東京Ｖ,京都,113.799,111.959,120,137,13252,흐림,21.1,72
2025,J리그1,18,2025-05-25 16:03:00,일,川崎Ｆ,Ｇ大阪,108.088,105.75,131,129,21440,흐림,22.1,55
2025,J리그1,22,2025-05-28 19:33:00,일,浦和,Ｃ大阪,121.183,121.03,145,125,24697,맑음,18.7,57
2025,J리그1,19,2025-05-31 14:03:00,일,町田,横浜FM,116.545,118.019,127,119,10289,비,16.7,90
2025,J리그1,19,2025-05-31 14:03:00,일,名古屋,新潟,112.037,109.498,135,107,23541,흐림,24,58
2025,J리그1,19,2025-05-31 14:04:00,일,福岡,東京Ｖ,116.65,116.129,113,100,7409,맑음,23.7,39
2025,J리그1,19,2025-05-31 16:03:00,일,柏,神戸,110.488,114.694,90,108,12989,흐림 일시 비,16.3,70
2025,J리그1,19,2025-05-31 17:33:00,일,広島,川崎Ｆ,110.749,113.957,108,101,25909,맑음,22,26
2025,J리그1,19,2025-05-31 18:03:00,일,Ｇ大阪,鹿島,114.853,118.444,156,159,32013,흐림,21.3,47
2025,J리그1,19,2025-05-31 19:03:00,일,京都,FC東京,120.977,113.863,133,111,16302,흐림,18.9,67
2025,J리그1,19,2025-06-01 15:03:00,일,湘南,岡山,113.834,117.229,120,120,11696,맑음,23.1,57
2025,J리그1,19,2025-06-01 15:03:00,일,Ｃ大阪,清水,121.868,117.55,151,130,20864,맑음,25,41
2025,J리그1,19,2025-06-01 16:04:00,일,浦和,横浜FC,111.87,111.141,138,113,39995,맑음,22.8,59
2025,J리그1,20,2025-06-14 17:33:00,일,湘南,町田,113.883,115.231,129,117,10745,비,21.5,89
2025,J리그1,20,2025-06-14 18:03:00,일,鹿島,広島,113.152,110.611,113,143,22725,비,22.1,90
2025,J리그1,20,2025-06-14 18:03:00,일,横浜FC,川崎Ｆ,109.682,107.074,131,126,11188,비,22.1,83
2025,J리그1,20,2025-06-14 19:03:00,일,FC東京,Ｃ大阪,116.277,118.075,137,109,24572,비,21.6,66
2025,J리그1,20,2025-06-15 14:03:00,일,新潟,横浜FM,108.741,107.047,113,84,30474,흐림 때때로 맑음,26.2,79
2025,J리그1,20,2025-06-15 18:04:00,일,東京Ｖ,柏,117.283,119.186,92,125,15375,맑음,28.8,88
2025,J리그1,20,2025-06-15 18:03:00,일,神戸,名古屋,105.534,102.927,83,94,22175,맑음,25.8,57
2025,J리그1,20,2025-06-15 18:04:00,일,岡山,福岡,106.34,106.017,112,98,14653,맑음,29.2,65
2025,J리그1,20,2025-06-15 18:33:00,일,清水,Ｇ大阪,113.554,108.484,115,124,16401,맑음,26.1,72
2025,J리그1,21,2025-06-21 16:03:00,일,町田,鹿島,113.318,111.234,98,92,13828,맑음,28.9,63
2025,J리그1,21,2025-06-21 16:03:00,일,福岡,新潟,117.303,113.161,89,85,11350,맑음,32,54
2025,J리그1,21,2025-06-21 18:33:00,일,Ｃ大阪,東京Ｖ,114.25,116.867,86,86,18024,맑음,28.9,65
2025,J리그1,21,2025-06-21 19:03:00,일,柏,京都,120.583,124.115,165,173,12954,맑음,25.8,67
2025,J리그1,21,2025-06-21 19:03:00,일,川崎Ｆ,神戸,107,114.028,98,133,23103,맑음,27.4,75
2025,J리그1,21,2025-06-21 19:03:00,일,横浜FM,岡山,108.364,113.418,111,133,29282,맑음,26.3,58
