game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
108,2025-04-01 19:30:00,울산,대전,울산 문수 축구경기장,6902,맑음,11.1,45,"skySports, COUPANGPLAY"
109,2025-06-17 19:30:00,서울,강원,서울 월드컵 경기장,15290,맑음,28.4,61,"skySports, COUPANGPLAY"
110,2025-06-17 19:30:00,전북,수원FC,전주 월드컵 경기장,11355,맑음,29.0,61,"JTBC G&S, COUPANGPLAY"
111,2025-06-17 19:30:00,대구,포항,대구iM뱅크PARK,9384,맑음,29.8,56,"IB SPORTS, COUPANGPLAY"
112,2025-06-18 19:30:00,제주,광주,제주 월드컵 경기장,5307,맑음,25.0,77,"IB SPORTS, COUPANGPLAY"
113,2025-06-18 19:30:00,대전,김천,대전 월드컵 경기장,5016,맑음,31.0,45,"JTBC G&S, KFN, COUPANGPLAY"
114,2025-04-23 19:30:00,안양,울산,안양 종합 운동장,5592,맑음,21.9,38,"skySports, COUPANGPLAY"
115,2025-06-21 19:00:00,강원,대구,강릉하이원아레나,9256,흐림,26.4,59,"IB SPORTS, COUPANGPLAY"
116,2025-06-21 19:00:00,포항,제주,포항 스틸야드,6204,비,22.0,79,"JTBC G&S, COUPANGPLAY"
117,2025-06-21 19:00:00,전북,서울,전주 월드컵 경기장,22862,비,21.0,94,"skySports, COUPANGPLAY"
118,2025-06-22 19:00:00,김천,안양,김천 종합 운동장,1774,맑음,28.9,44,"IB SPORTS, KFN, COUPANGPLAY"
119,2025-08-02 19:00:00,울산,수원FC,울산 문수 축구경기장,10197,맑음,31.1,69,"JTBC G&S, COUPANGPLAY"
120,2025-06-22 19:00:00,광주,대전,광주 월드컵 경기장,3055,맑음,24.0,70,"skySports, COUPANGPLAY"
121,2025-06-27 19:30:00,김천,전북,김천 종합 운동장,3840,맑음,31.8,53,"JTBC G&S, KFN, COUPANGPLAY"
122,2025-06-27 19:30:00,대전,제주,대전 월드컵 경기장,7097,맑음,30.4,53,"IB SPORTS, COUPANGPLAY"
123,2025-06-28 19:00:00,수원FC,강원,수원 종합 운동장,3401,흐림,28.7,76,"IB SPORTS, COUPANGPLAY"
124,2025-06-28 19:00:00,안양,광주,안양 종합 운동장,7253,흐림,28.4,75,"skySports, COUPANGPLAY"
125,2025-07-12 19:00:00,울산,대구,울산 문수 축구경기장,14555,맑음,27.0,10,"JTBC G&S, COUPANGPLAY"
126,2025-06-29 19:00:00,서울,포항,서울 월드컵 경기장,20036,맑음,28.2,83,"skySports, COUPANGPLAY"
127,2025-07-18 19:30:00,수원FC,광주,수원 종합 운동장,2036,흐림,27.7,73,"JTBC G&S, COUPANGPLAY"
128,2025-07-18 19:30:00,대구,김천,대구iM뱅크PARK,8562,비,27.0,84,"IB SPORTS, COUPANGPLAY"
129,2025-07-19 19:00:00,강원,대전,강릉하이원아레나,10207,맑음,31.0,60,"JTBC G&S, COUPANGPLAY"
130,2025-07-19 19:00:00,포항,전북,포항 스틸야드,13973,흐림,23.0,92,"skySports, COUPANGPLAY"
131,2025-07-19 19:00:00,제주,안양,제주 월드컵 경기장,7120,맑음,28.0,86,"IB SPORTS, COUPANGPLAY"
132,2025-07-20 19:00:00,서울,울산,서울 월드컵 경기장,24047,맑음,29.3,74,"skySports, COUPANGPLAY"
133,2025-07-22 19:30:00,포항,수원FC,포항 스틸야드,8260,맑음,35.0,46,"JTBC G&S, COUPANGPLAY"
134,2025-07-22 19:30:00,광주,김천,광주 월드컵 경기장,1710,흐림,29.0,75,"skySports, COUPANGPLAY"
135,2025-07-22 19:30:00,안양,대구,안양 종합 운동장,5368,맑음,30.7,62,"IB SPORTS, COUPANGPLAY"
136,2025-07-23 19:30:00,울산,대전,울산 문수 축구경기장,8127,맑음,30.7,64,"JTBC G&S, COUPANGPLAY"
137,2025-07-23 19:30:00,제주,서울,제주 월드컵 경기장,7084,맑음,30.0,65,"IB SPORTS, COUPANGPLAY"
138,2025-07-23 19:30:00,전북,강원,전주 월드컵 경기장,13795,맑음,33.0,63,"skySports, COUPANGPLAY"
139,2025-07-26 19:00:00,김천,제주,김천 종합 운동장,1922,맑음,33.8,54,"IB SPORTS, COUPANGPLAY"
140,2025-07-26 19:00:00,수원FC,안양,수원 종합 운동장,8027,맑음,36.0,48,"JTBC G&S, COUPANGPLAY"
141,2025-07-26 19:00:00,광주,전북,광주 월드컵 경기장,9544,맑음,31.0,60,"skySports, COUPANGPLAY"
142,2025-07-27 19:00:00,강원,울산,강릉하이원아레나,9144,맑음,37.1,42,"JTBC G&S, COUPANGPLAY"
143,2025-07-27 19:00:00,대전,서울,대전 월드컵 경기장,11029,맑음,35.4,53,"skySports, COUPANGPLAY"
144,2025-07-27 19:00:00,대구,포항,대구iM뱅크PARK,10153,맑음,35.0,47,"IB SPORTS, COUPANGPLAY"
145,2025-08-08 19:30:00,서울,대구,서울 월드컵 경기장,15778,흐림,27.6,75,"JTBC G&S, COUPANGPLAY"
146,2025-08-08 19:30:00,전북,안양,전주 월드컵 경기장,21346,흐림,28.0,63,"skySports, COUPANGPLAY"
147,2025-08-09 19:30:00,울산,제주,울산 문수 축구경기장,10510,흐리고 비,24.0,88,"JTBC G&S, COUPANGPLAY"
148,2025-08-09 19:30:00,강원,김천,강릉하이원아레나,9415,흐림,27.0,74,"IB SPORTS, COUPANGPLAY"
